n,df,d,i,power,cohend_mean,cohend_sd
10,8,0,10,0.0304,-0.00369756702720728,0.9337871910642171
10,8,0.05,10,0.0295,0.06816207345640077,0.9333755988643844
10,8,0.1,10,0.0287,0.1392578368322405,0.935217116339786
10,8,0.15000000000000002,10,0.0306,0.21108481605828883,0.9361656583271327
10,8,0.2,10,0.0323,0.28289845169821626,0.9375574231355849
10,8,0.25,10,0.0368,0.35437909612942564,0.9418000756888645
10,8,0.30000000000000004,10,0.0404,0.42538318997771146,0.9473655551242337
10,8,0.35000000000000003,10,0.0463,0.496877711996777,0.9533049035772628
10,8,0.4,10,0.0531,0.5688589761111518,0.9611472310527751
10,8,0.45,10,0.06,0.6402702814398007,0.9664668232525958
10,8,0.5,10,0.0667,0.7108104452134212,0.9737100669152207
100,8,0,10,0.0251,-0.0014553102169257907,0.20643639975410266
100,8,0.05,10,0.0307,0.05207517381882778,0.20640728467300076
100,8,0.1,10,0.0464,0.105516591539752,0.20653616070786301
100,8,0.15000000000000002,10,0.0729,0.15905904619353262,0.20684168501321085
100,8,0.2,10,0.1122,0.21230580513031302,0.20726983719000994
100,8,0.25,10,0.1664,0.26554900389199626,0.20782272980601835
100,8,0.30000000000000004,10,0.2364,0.3189405397045686,0.2085751837965054
100,8,0.35000000000000003,10,0.3196,0.3720317020688279,0.20955923767920107
100,8,0.4,10,0.4157,0.425375545909308,0.2107399117156733
100,8,0.45,10,0.521,0.4784323773113551,0.212143577120441
100,8,0.5,10,0.6207,0.5313140019154445,0.21335861588049035
200,8,0,10,0.0228,-2.9846500551621236e-4,0.14188145803091978
200,8,0.05,10,0.0333,0.052434385313417965,0.1419687676657336
200,8,0.1,10,0.065,0.10532334340201992,0.14218111071202016
200,8,0.15000000000000002,10,0.127,0.1580544828441871,0.14247691912285856
200,8,0.2,10,0.2153,0.21063593370865927,0.1427977825954086
200,8,0.25,10,0.3383,0.26333456863519733,0.14343361215245334
200,8,0.30000000000000004,10,0.4771,0.31583307587581333,0.14423737045532234
200,8,0.35000000000000003,10,0.6203,0.36824487386439364,0.1450017623644888
200,8,0.4,10,0.7454,0.4204641068925298,0.14586510361049368
200,8,0.45,10,0.8487,0.4722819189288654,0.1467567010060035
200,8,0.5,10,0.9166,0.5238957982390827,0.1478271524083574
300,8,0,10,0.0258,0.0011813043539561409,0.11677693950705138
300,8,0.05,10,0.0407,0.053679231197410485,0.116892832846227
300,8,0.1,10,0.0925,0.10605823226453946,0.11704424654918136
300,8,0.15000000000000002,10,0.1898,0.15840510150379442,0.11730898649057059
300,8,0.2,10,0.3265,0.21075064561452597,0.11764760862816076
300,8,0.25,10,0.4997,0.2628686274102682,0.11807676016625769
300,8,0.30000000000000004,10,0.672,0.3148430328936486,0.11873571203086021
300,8,0.35000000000000003,10,0.8117,0.3667751537270362,0.11927376460248577
300,8,0.4,10,0.9042,0.41829988442537003,0.11993798509277193
